,id,country,mobile,desktop,provider_id
0,1731,,0.00025000,0.00020000,
1,3625,VC,0.00002000,0.00125221,
2,3627,BI,0.00002000,0.00098548,
3,3636,NZ,0.00002000,0.00062428,
4,3638,ET,0.00002000,0.00060754,
5,3643,RE,0.00002000,0.00050976,
6,3644,FI,0.00002000,0.00048557,
7,3646,NO,0.00002000,0.00047148,
8,3648,YE,0.00002000,0.00045314,
9,3656,TT,0.00002000,0.00035348,
10,3658,MT,0.00002000,0.00035137,
11,3664,UG,0.00002000,0.00030415,
12,3672,MG,0.00002000,0.00026668,
13,3677,EE,0.00002000,0.00025124,
14,3679,TG,0.00002000,0.00024755,
15,3683,GE,0.00002000,0.00022979,
16,3685,SN,0.00002000,0.00022387,
17,3697,AO,0.00002000,0.00018155,
18,3701,CI,0.00002000,0.00016819,
19,3707,BA,0.00002000,0.00015511,
20,3712,LU,0.00002000,0.00014516,
21,3714,SR,0.00002000,0.00013764,
22,3716,UZ,0.00002000,0.00013490,
23,3718,NA,0.00002000,0.00012411,
24,3722,CM,0.00002000,0.00006277,
25,3613,US,0.0020866646925583997,0.0017657723205966001,
26,3617,CA,0.0019388605770829996,0.0014738398320792998,
27,3632,JP,0.0018024205383526998,0.0008939872031250001,
28,3614,BE,0.0017724881302079998,0.0016986474305247003,
29,3651,KZ,0.0015925022109375,0.0004294214957216,
30,3633,IQ,0.0015385220078125003,0.0007653258950621,
31,3723,CY,0.00125208,0.00002000,
32,3623,DE,0.0014555319126663996,0.0014556888338659,
33,3622,IL,0.0014555319126663996,0.0014556888338659,
34,3620,SG,0.0014555319126663996,0.0014556888338659,
35,3700,LT,0.0014555319126663996,0.00019729355715739118,
36,3626,GB,0.0014555319126663996,0.0014556888338659,
37,3619,AT,0.0014105054895829998,0.0014556888338659,
38,3630,NL,0.0013807895068994,0.0009569261879566,
39,3621,AU,0.0013124765723686999,0.0014556888338659,
40,3615,FR,0.0012903060955112,0.0016741123938487,
41,3629,ES,0.0012873678882209002,0.0009686202396915998,
42,3647,ZA,0.0012830675492189,0.0005416011190431,
43,3669,DK,0.0011843341718750001,0.00032238970072880004,
44,3709,BY,0.0010921204103538998,0.00017170365250000001,
45,3680,HR,0.00105651003125,0.0002860883529957508,
46,3618,IT,0.0009157806081486,0.0014556888338659,
47,3641,AE,0.0009119136353433999,0.000606141018108,
48,3645,BR,0.0009015115498307999,0.0005533928367231002,
49,3624,CH,0.0008807847875,0.0014556888338659,
50,3687,AZ,0.00086688496875,0.00024982671375000005,
